Job_ID,Company,Job_title,Job_simple,Max_Salary,Pay_Period,Location,Company_ID,Min_Salary,Work_Type,Remote_Allowed,Experience_Level,Compensation_Type,Normalized_Salary,skill,industry_name
3899527224,PowerToFly,Data Analyst,Data Analyst,110250,YEARLY,"Purchase, NY",5150994,74800,Full-time,0,null,BASE_SALARY,92525,Information Technology,Software Development
3899527467,Avant-garde Health,Data Analyst,Data Analyst,230000,YEARLY,Greater Boston,6496262,170000,Full-time,0,Mid-Senior level,BASE_SALARY,null,Analyst,Hospitals and Health Care
3899530235,e-Zest Solutions,Data Architect,Data Architect,230000,YEARLY,"Texas, United States",125527,170000,Full-time,0,Director,BASE_SALARY,null,Engineering,IT Services and IT Consulting
3899534432,"LanceSoft, Inc.",Data Analyst,Data Analyst,230000,YEARLY,"Richmond, VA",16388,170000,Contract,0,Mid-Senior level,BASE_SALARY,null,Information Technology,Banking
3899538732,Russell Tobin,Data Analyst,Data Analyst,69,HOURLY,"San Jose, CA",827183,60,Contract,0,Mid-Senior level,BASE_SALARY,134160,Information Technology,Software Development
3899540515,Numero Data,Data Analyst,Data Analyst,75000,YEARLY,"Herndon, VA",10520445,70000,Contract,0,Mid-Senior level,BASE_SALARY,72500,Analyst,Data Infrastructure and Analytics
3899543165,Advantage Tech,Data Entry Specialist,Data Entry,150,HOURLY,Topeka Metropolitan Area,26749,140,Full-time,0,Entry level,BASE_SALARY,41600,Administrative,Accounting
3899935022,Brooksource,Data Analyst,Data Analyst,150,HOURLY,United States,18476,140,Contract,1,Associate,BASE_SALARY,null,Information Technology,"Technology, Information and Media"
3900073395,HRUCKUS,Data Analyst,Data Analyst,107000,YEARLY,"Washington, DC",5356751,100000,Contract,0,Mid-Senior level,BASE_SALARY,103500,Information Technology,Government Relations Services
3900080554,Tata Consultancy Services,Data Analyst,Data Analyst,150,HOURLY,"Charlotte, NC",1353,140,Full-time,0,Entry level,BASE_SALARY,null,Information Technology,IT Services and IT Consulting
3900088279,Addison Group,Data Entry Specialist,Data Entry,150,HOURLY,"Austin, TX",18043,140,Full-time,0,Entry level,BASE_SALARY,41600,Administrative,Staffing and Recruiting
3900944050,Experis,Data Architect,Data Architect,175000,YEARLY,"Meridian, ID",2203697,150000,Full-time,0,Mid-Senior level,BASE_SALARY,162500,Engineering,Staffing and Recruiting
3900949012,ESB Technologies,Azure Data Engineer,Data Engineer,150,HOURLY,"New York, United States",42880798,140,Contract,0,Mid-Senior level,BASE_SALARY,null,Information Technology,IT System Testing and Evaluation
3900957963,IBM,Data Analyst,Data Analyst,130924,YEARLY,"Washington, DC",1009,87283,Full-time,0,null,BASE_SALARY,109103.5,Other,Computer Hardware Manufacturing
3900958808,Mitchell Martin Inc.,Data Entry Specialist,Data Entry,95000,YEARLY,New York City Metropolitan Area,488281,85000,Contract,0,Entry level,BASE_SALARY,null,Administrative,"Technology, Information and Media"
3900960572,R1 RCM,Data Architect,Data Architect,95000,YEARLY,United States,162255,85000,Full-time,1,null,BASE_SALARY,null,Engineering,Hospitals and Health Care
3900967031,Ascendion,Data Analyst,Data Analyst,82000,YEARLY,"Seattle, WA",86694680,79000,Full-time,0,Associate,BASE_SALARY,80500,Information Technology,"Technology, Information and Internet"
3900984477,Epsilon,Data Analyst,Data Analyst,75000,YEARLY,"Chicago, IL",3776,65000,Full-time,0,Associate,BASE_SALARY,null,Marketing,Software Development
3900986317,Epsilon,Data Analyst,Data Analyst,75000,YEARLY,"Atlanta, GA",3776,65000,Full-time,0,Associate,BASE_SALARY,null,Marketing,Software Development
3900988130,Epsilon,Data Analyst,Data Analyst,75000,YEARLY,"Irving, TX",3776,65000,Full-time,0,Associate,BASE_SALARY,null,Marketing,Software Development
3901166920,Oshkosh Defense,Data Analyst,Data Analyst,75000,YEARLY,"Spartanburg, SC",550974,65000,Full-time,0,Entry level,BASE_SALARY,null,Information Technology,Motor Vehicle Manufacturing
3901342610,CloudIngest,Data Architect,Data Architect,75000,YEARLY,United States,67331111,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901348764,Sun Technologies,Data Analyst,Data Analyst,75000,HOURLY,"Orlando, FL",359901,65000,Contract,0,null,BASE_SALARY,89440,Information Technology,IT Services and IT Consulting
3901349965,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Plano, TX",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901358031,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Salt Lake City Metropolitan Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
